code,clinic,clinic_type,area,"Lat, Long",,,,,,,
HCU,CURRO DURBANVILLE,School,CT,"-33.80668139532369, 18.691568975204405",,,,,,,
HCW,BELLVILLE TECHNICAL HIGH,School,CT,"-33.91121175763504, 18.662388197311117",,,,,,,
HCZ,CAPE TOWN INTERNATIONAL AIRPORT,Commercial,CT,"-33.97142738279486, 18.602085097313346",,,,,,,
HDA,MONUMENT PARK,School,CT,"-33.83863069489214, 18.71466213082234",,,,,,,
HDC,D.F.MALAN HOERSKOOL,School,CT,"-33.893544250260675, 18.62644839731054",,,,,,,
HDD,ACKERMANS,Commercial,CT,"-33.94190247045358, 18.68758289731235",,,,,,,
HDI,DE KUILEN HOERSKOOL,School,CT,"-33.92433725807915, 18.68349049731158",,,,,,,
HDJ,BRACKENFELL HIGH,School,CT,"-33.86972452259549, 18.686940012654656",,,,,,,
HDK,VITAL HEALTH,Commercial,CT,"-33.91117381151207, 18.66941560748906",,,,,,,
HDX,STELLENBERG,Residential,CT,"-33.869624727835166, 18.657549900119395",,,,,,,
HDZ,STELLENBERG HIGH,School,CT,"-33.863412728810765, 18.66143009730931",,,,,,,
HEC,BELLVILLE HIGH,School,CT,"-33.89312937321244, 18.649264839637848",,,,,,,
HEK,BELHAR HIGH,School,CT,"-33.943525490409115, 18.611414060997625",,,,,,,
HEN,KUILS RIVER TECH HIGH,School,CT,"-33.94964128889419, 18.675692112072145",,,,,,,
HEO,SARS BELLVILLE,Commercial,CT,"-33.90015712234147, 18.62870094766394",,,,,,,
HEX,PSG BELLVILLE,Commercial,CT,"-33.875446652957784, 18.63079185560159",,,,,,,
HEZ,SEESA,Commercial,CT,"-33.883670665004914, 18.63307197032791",,,,,,,
HFA,PROTEA HEIGHTS ACADEMY,School,CT,"-33.889803254826695, 18.700142183819178",,,,,,,
HFB,PUMA,Commercial,CT,"-33.819076600259166, 18.556034254980347",,,,,,,
HFC,BRACKENFELL CENTRE,Shopping,CT,"-33.8819324593144, 18.6846612396375",,,,,,,
HFH,STIKLAND HOSPITAL,Hospital,CT,"-33.896638910433005, 18.65776928109219",,,,,,,
HFK,MERIDIAN CURRO HIGH,School,CT,,,,,,,,
HFN,BIDVEST McCARTHY VW,Commercial,CT,"-33.90478498389385, 18.5943816",,,,,,,
HFS,HEIDEKOPPIE NG KERK,Residential,CT,"-33.887838583247834, 18.69519560627502",,,,,,,
HFT,TAFELBERG SCHOOL,School,CT,"-33.85732111212672, 18.542537732205727",,,,,,,
HFV,AFRICAN UNITY,Commercial,CT,"-33.85317777452566, 18.62721762057745",,,,,,,
HFW,PEARSON INSTITUTE,Tertiary,CT,"-33.870545158374746, 18.640310649870894",,,,,,,
HFX,PEPKORIT,Commercial,CT,"-33.87854900772395, 18.634545684654817",,,,,,,
HFZ,HAASENDAL GABLES,Shopping,CT,"-33.906890538470066, 18.698964783819907",,,,,,,
HGA,EL SHADDAI SCHOOL,School,CT,"-33.82883844825727, 18.66133429730818",,,,,,,
HGG,CHRISTIAAN BARNARD,Hospital,CT,"-33.917819083991084, 18.430781503407598",,,,,,,
HGH,RADISSON RED,Commercial,CT,"-33.90853404401017, 18.42270399731105",,,,,,,
HGJ,NANO IS,Commercial,CT,"-33.90104132124939, 18.643333133262743",,,,,,,
HGK,CURRO BRACKENFELL,School,CT,"-33.89939004245119, 18.687691768474405",,,,,,,
HGM,CURRO CENTURY CITY,School,CT,"-33.883033032209795, 18.520467454982672",,,,,,,
HGN,SCOTTSDENE LIBRARY,Residential,CT,"-33.866695849115565, 18.72155714296902",,,,,,,
HGO,KARL BREMER,Hospital,CT,"-33.89261717321267, 18.6092761973105",,,,,,,
HGP,CURRO BURGANDY,School,CT,"-33.84334198673034, 18.549016397308566",,,,,,,
HGR,APEX HIGH ,School,CT,"-34.01506774059408, 18.7116400593542",,,,,,,
HGT,AECOM,Commercial,CT,"-33.87992434457798, 18.630636583818756",,,,,,,
LS1-5,LONG STREET BDC,Fixed,CT,"-33.91965137377868, 18.422378361253706",,,,,,,
MB1-7,BLUE ROUTE BDC,Fixed,CT,"-34.06316867840991, 18.453646834510508",,,,,,,
NC1-7,N1 CITY BDC,Fixed,CT,"-33.890836760225945, 18.561165851845196",,,,,,,
ZBL,WC COLLEGE OF NURSES ,Tertiary,CT,"-33.96578419138181, 18.551356611750432",,,,,,,
ZBO,PNP TABLEVIEW CENTR,Shopping,CT,"-33.825965154725786, 18.487636618011983",,,,,,,
ZBS,HYPERMARKET OTTERY,Shopping,CT,"-34.01960540295322, 18.51742643964255",,,,,,,
ZBW,VANGATE MALL,Shopping,CT,"-33.96119696000802, 18.538263971163705",,,,,,,
ZCG,COBBLE WALK,Shopping,CT,"-33.84405577143105, 18.67724413295326",,,,,,,
ZCS,GLEN GARRY ,Shopping,CT,"-33.856628078080426, 18.67085187116371",,,,,,,
ZCX,GRAPEVINE,Commercial,CT,"-33.95034522760751, 18.702634483878327",,,,,,,
ZDD,WCBS HQ PINELANDS,Commercial,CT,"-33.93088744755175, 18.487826581966726",,,,,,,
ZDF,NETCARE BLAAUBERG,Hospital,CT,"-33.803801051869634, 18.483537257672587",,,,,,,
ZDN,WILLOWBRIDGE MALL,Shopping,CT,"-33.870784532654326, 18.63172112614602",,,,,,,
ZDY,KHAYELITSHA MALL,Shopping,CT,"-34.04638131655888, 18.67153512622853",,,,,,,
ZGB,RYLANDS VILLAGE,Shopping,CT,"-33.97504047874157, 18.531258883822403",,,,,,,
ZGH,TABLE BAY MALL,Shopping,CT,"-33.78612900713654, 18.47814709730658",,,,,,,
ZGL,FAIRCAPE,Commercial,CT,"-33.82257619224186, 18.533690109893353",,,,,,,
ZGP,TRUWORTHS DISTRIBUTION,Commercial,CT,"-33.93283966015252, 18.54767599731202",,,,,,,
ZGQ,DSV AIR & SEA,Commercial,CT,"-33.98581876774741, 18.601736594258004",,,,,,,
ZGR,WATERGATE MALL,Shopping,CT,"-34.01972822089545, 18.608374653964468",,,,,,,
ZGU,VOICE OF THE CAPE,Commercial,CT,"-33.93272006333312, 18.457253853130545",,,,,,,
ZGZ,SANDOWN MEDICAL,Hospital,CT,"-33.8001258803676, 18.499726968470746",,,,,,,
ZHB,BONTEHEWEL,Residential,CT,"-33.952318393155494, 18.553001538551094",,,,,,,
ZHC,STEENBERG ESTATE,Residential,CT,"-34.07174935890027, 18.421361707421553",,,,,,,
ZHE,MELOMED GATESVILLE,Hospital,CT,"-33.970374796140185, 18.533535926149593",,,,,,,
ZHF,BLAAUWBERG BEACH,Commercial,CT,"-33.81023467225915, 18.469459739634875",,,,,,,
ZHH,EDUVOS,School,CT,"-33.98336090192041, 18.47027359452365",,,,,,,
BA1,GEORGE TOWN,Residential,George,"-33.962498077275285, 22.46202339169971",,,,,,,
BA2,GEORGE TOWN,Shopping,George,"-33.962498077275285, 22.46202339169971",,,,,,,
BA3,GEORGE TOWN,Residential,George,"-33.962498077275285, 22.46202339169971",,,,,,,
BA4,GEORGE TOWN,Residential,George,"-33.962498077275285, 22.46202339169971",,,,,,,
BAC,SEDGEFIELD,Residential,George,"-34.02271339269742, 22.807282084844974",,,,,,,
BAD,ALBERTINIA,Residential,George,"-34.20844861740393, 21.57284896380713",,,,,,,
BAF,GREAT BRAK RIVER,Residential,George,"-34.049059282363835, 22.219567166177413",,,,,,,
BAH,HEIDELBERG,Residential,George,"-34.08081325795663, 20.944622020888268",,,,,,,
BAI,KNYSNA,Residential,George,"-34.03500537926109, 23.046868826743285",,,,,,,
BAJ,LADISMITH,Residential,George,"-33.49405859860314, 21.269162853326065",,,,,,,
BAK,MOSSEL BAY,Residential,George,"-34.18189654675858, 22.11964774909097",,,,,,,
BAL,OUDTSHOORN,Residential,George,"-33.6004425377302, 22.201556563874163",,,,,,,
BAM,PLETTENBERG BAY,Residential,George,"-34.056245753274915, 23.370412167854116",,,,,,,
BAN,RIVERSDALE,Residential,George,"-34.03207027703384, 21.246751946486384",,,,,,,
BAO,HARTENBOS,Residential,George,"-34.121748105082936, 22.0986039564167",,,,,,,
BAQ,PUNT HOERSKOOL,School,George,"-34.18967619840294, 22.14141259732158",,,,,,,
BAU,STILLBAAI,Residential,George,"-34.36454201390214, 21.431975660665213",,,,,,,
BAW,OUTENIQUA HIGH,School,George,"-33.95861648170502, 22.467719197312952",,,,,,,
BAX,LANGENHOVEN HIGH,School,George,"-34.0846177872662, 21.25670865499022",,,,,,,
BBG,KNYSNA WATERFRONT,Shopping,George,"-34.04064887739466, 23.045561807026893",,,,,,,
BBK,NELSON MANDELA UNIVERSITY,School,George,"-34.009991779485496, 22.447367083114084",,,,,,,
BBU,GEORGE MUNICIPALITY,Residential,George,"-33.96105484572568, 22.45408906765967",,,,,,,
BCQ,PLETT BEACH,Shopping,George,"-34.04166263907223, 23.3710648049534",,,,,,,
BCV,LANGENHOVEN GIM,School,George,"-33.576376437044416, 22.197803542373943",,,,,,,
BDN,DATA DOT TECHNOLOGY,Commercial,George,"-33.97249317820947, 22.465653268477073",,,,,,,
BDQ,GEORGE HIGH,School,George,"-33.967473279150866, 22.476446253131822",,,,,,,
BDZ,GSV/SPE,Event,George,,,,,,,,
BEB,FRAAIUITSIG SENTRUM,Shopping,George,"-34.079527773521185, 22.14974858849081",,,,,,,
BEC,BAYVIEW BUISNESS PARK,Hospital,George,,,,,,,,
BEG,DANA BAY,Residential,George,"-34.196240769665046, 22.05331300732535",,,,,,,
BEP,MOSSELBAAI MALL,Shopping,George,"-34.18455044646294, 22.11597651081252",,,,,,,
BEW,GLENWOOD HOUSE,School,George,"-33.969377588513325, 22.49229766847699",,,,,,,
BFG,HARTENBOS,Residential,George,"-34.121700127091934, 22.09814588896628",,,,,,,
BFH,FAMILY MARKET,Commercial,George,"-33.984073714205415, 22.512991968477593",,,,,,,
BFI,BADGER HOLDINGS,Commercial,George,,,,,,,,
BFM,FANCOURT HOTEL,Residential,George,"-33.95127987078734, 22.406587241401912",,,,,,,
BFV,EDEN MEANDER,Shopping,George,"-33.98356079522045, 22.498759854986492",,,,,,,
BGA,MEDICLINIC GEORGE,Hospital,George,"-33.95724458798695, 22.456838283821767",,,,,,,
BGW,RUNDLE COLLEGE,School,George,"-33.96217861828038, 22.453469296538",,,,,,,
BGZ,GEORGE PROV HOSPITAL,Hospital,George,"-33.951972176896966, 22.4506561531312",,,,,,,
BHA,SPAR WELLINGTON SQ,Shopping,George,"-33.95372627650304, 22.467627510803876",,,,,,,
BHE,PJ MEUBELS,Commercial,George,"-33.97255269589053, 22.474011726149847",,,,,,,
BHL,CHECKERS YORK,Shopping,George,"-33.97165279017877, 22.44485902429553",,,,,,,
BHQ,BRIDGTON SECONDARY ,School,George,"-33.597677568553856, 22.228408997176654",,,,,,,
BHR,TEKKIE TOWN,Commercial,George,"-33.95967648968444, 22.458609826149342",,,,,,,
BHX,IVECO TAX CONSULTING,Commercial,George,,,,,,,,
BHY,MOTUS GEORGE,Event,George,"-33.98109492064049, 22.497490604556226",,,,,,,
BHZ,BOSHOFF VISSER,Commercial,George,"-33.96505825781623, 22.452266",,,,,,,
BIA,Oudtshoorn High ,School,George,"-33.59297674934227, 22.195665445865988",,,,,,,
BIB,Ghost Riders MC Garden Route,Event,George,,,,,,,,
BIC,GARDEN ROUTE DISTRIC,Event,George,,,,,,,,
BID,SECURITAS FINANCIAL,Commercial,George,"-33.96478345426815, 22.452477342327416",,,,,,,
BIE,OAKHILL COLLEGE,School,George,"-34.032744721542734, 23.04118842700148",,,,,,,
BIF,COUNTRY HOUSE ,School,George,"-33.951069900862734, 22.430212062475974",,,,,,,
BIG,HARTENBOS LAERSKOOL,School,George,"-34.12550651023671, 22.111676326155493",,,,,,,
BIH,SANPARKS WILDERNESS,Event,George,,,,,,,,
BII,CURRO MOSSELBAY,School,George,"-34.19306325007824, 22.1117146973217",,,,,,,
BIK,DIAZ HOTEL & RESORT,Commercial,George,"-34.15869808334117, 22.108606210811605",,,,,,,
BMK,MOSSEL BAY2,Residential,George,"-34.17512348657546, 22.085033871510106",,,,,,,
BSL,WITTEDRIFT HIGH,School,George,"-34.00645743389776, 23.339893839642073",,,,,,,
BSP,LANGEBERG MALL,Shopping,George,"-34.14809573358084, 22.103976132901956",,,,,,,
EAW,BEAUFORT WES,Residential,George,"-32.35302522292292, 22.58397400625581",,,,,,,
EAA,ASHTON,Residential,Worcester,"-33.82982079218833, 20.051284436832503",,,,,,,
EAB,NAPIER,Residential,Worcester,"-34.4755457646853, 19.89615262688492",,,,,,,
EAD,GRABOUW,Residential,Worcester,"-34.152004754011756, 19.003681168031093",,,,,,,
EAE,BOLAND KOLLEGE,School,Worcester,"-33.65582027330391, 19.436766039628996",,,,,,,
EAG,BREDASDORP,Residential,Worcester,"-34.53881021299433, 20.056541732160436",,,,,,,
EAH,BONNIEVALE,Residential,Worcester,"-33.91645775223622, 20.081081067552816",,,,,,,
EAI,CALEDON,Residential,Worcester,"-34.23137648543988, 19.425140733199072",,,,,,,
EAJ,RAINBOW CHICKENS,Commercial,Worcester,"-33.63305326724152, 19.476934495818632",,,,,,,
EAK,STRUISBAAI,Residential,Worcester,"-34.806850238103635, 20.047021529833756",,,,,,,
EAL,CERES,Residential,Worcester,"-33.40009388851828, 19.295010203649785",,,,,,,
EAN,DE DOORNS,Residential,Worcester,"-33.47786781845587, 19.66728055052946",,,,,,,
EAO,DANKBAAR,Residential,Worcester,,,,,,,,
EAQ,GANSBAAI,Residential,Worcester,"-34.58057032110906, 19.351467448345044",,,,,,,
EAR,HERMANUS,Residential,Worcester,"-34.41313413734972, 19.24470891738536",,,,,,,
EAS,TWO-A-DAY,Commercial,Worcester,"-34.15327355901427, 19.030763126156355",,,,,,,
EAT,KROMCO,Commercial,Worcester,"-34.17743571720631, 19.073320539648588",,,,,,,
EAU,LAINGSBURG,Residential,Worcester,"-33.198371260483604, 20.860442673854973",,,,,,,
EAV,MONTAGU,Residential,Worcester,"-33.7748530505915, 20.122363246430712",,,,,,,
EAX,RAWSONVILLE,Residential,Worcester,"-33.68177191106521, 19.314263423512045",,,,,,,
EAY,RIVIERSONDEREND,Residential,Worcester,"-34.1410440005421, 19.919843426680877",,,,,,,
EAZ,ROBERTSON,Residential,Worcester,"-33.801960960661816, 19.888097992762013",,,,,,,
EBB,GRW ENG.,Commercial,Worcester,"-33.63139101795828, 19.474077773418635",,,,,,,
EBC,GROENBERG SEN.SEK,School,Worcester,"-34.156829342162, 18.998183991883835",,,,,,,
EBD,SWELLENDAM,Residential,Worcester,"-34.022109394744476, 20.440093024135756",,,,,,,
EBE,TOUWS RIVER,Residential,Worcester,"-33.33978732529835, 20.02779888435402",,,,,,,
EBG,TULBAGH,Residential,Worcester,"-33.287136843264086, 19.14351182667605",,,,,,,
EBH,OBOS,School,Worcester,,,,,,,,
EBI,VILLIERSDORP,Residential,Worcester,"-33.98599723507047, 19.28656849948732",,,,,,,
EBJ,WOLSELEY,Residential,Worcester,"-33.419495565692756, 19.19763639528285",,,,,,,
EBK,WORCESTER CENTRAL,Residential,Worcester,"-33.64355111250861, 19.446559515561106",,,,,,,
EBL,KLEINMOND,Residential,Worcester,"-34.33508944596812, 19.01246468327305",,,,,,,
EBM,LANGERUGSKOOL,School,Worcester,"-33.64876081087002, 19.430132629845797",,,,,,,
EBN,MONTANA HOERSKOOL,School,Worcester,"-33.63099133893529, 19.445956981769275",,,,,,,
EBO,MEDICLINIC WORCESTER,Hospital,Worcester,"-33.64395564644481, 19.450690154973756",,,,,,,
EBQ,WORCESTER CENTRAL,Fixed,Worcester,"-33.64355111250861, 19.446559515561106",,,,,,,
EBS,BRANDVLEI CORRECTIONAL,Commercial,Worcester,"-33.72487508679524, 19.41568341079532",,,,,,,
EBT,GREYTON,Residential,Worcester,"-34.05357573425892, 19.61057811090254",,,,,,,
ECB,SAD PIONEER FOODS,Commercial,Worcester,"-33.637328708502615, 19.452923254973644",,,,,,,
ECE,DROSTDY TECHNICAL HIGH,School,Worcester,"-33.648905534398004, 19.435031357672596",,,,,,,
ECH,WORCESTER HOSPITAL,Hospital,Worcester,"-33.64528422598469, 19.45830459730129",,,,,,,
ECZ,SAP,Commercial,Worcester,"-33.64555953641233, 19.44355042428347",,,,,,,
EDE,HELDERSTROOM MAXIMUM PRISON,Commercial,Worcester,"-34.075849499829154, 19.3652734261536",,,,,,,
EDF,WORCESTER GIMNASIUM,School,Worcester,"-33.642754194728575, 19.437609072856095",,,,,,,
EDG,EMIL WEDER SEK.SKOOL,School,Worcester,"-34.04154761539734, 19.562606020455295",,,,,,,
EFA,BREWELSKLOOF,Hospital,Worcester,"-33.62097390511679, 19.456928383809238",,,,,,,
EFE,WORCESTER TOWN,Event,Worcester,,,,,,,,
EFG,DROSTDYSENTRUM,Residential,Worcester,"-33.638084347045705, 19.430423168464692",,,,,,,
EFH,PRINCE ALFRED HAMLET,Residential,Worcester,"-33.28343701786736, 19.327348379065466",,,,,,,
EFJ,WORCESTER CORRECTIONAL SERVICES,Commercial,Worcester,"-33.654605584407406, 19.433933872491494",,,,,,,
EFL,MEIRINGSPARK,Residential,Worcester,"-33.62623062182597, 19.474732800557646",,,,,,,
EFN,AVIAN PARK1,Residential,Worcester,"-33.66523576767558, 19.43342188116613",,,,,,,
EFO,HEUWEL SENTRUM,Commercial,Worcester,"-33.8016303195698, 19.88065448133369",,,,,,,
EFQ,KWIKSPAR BR/VALLEI,Commercial,Worcester,"-33.62883347219152, 19.463018070528744",,,,,,,
EFR,MIDDEDORP,Commercial,Worcester,,,,,,,,
EFU,ALLIES SUPERETTE,Residential,Worcester,"-33.65824166167788, 19.46747791079294",,,,,,,
EFX,MOUNTAIN MILL MALL,Shopping,Worcester,"-33.6319929698852, 19.43625541534518",,,,,,,
EGA,GREEN VALLEY CASINO,Residential,Worcester,"-33.6272658064191, 19.4351482684643",,,,,,,
EGB,PIONEER FOODS,Commercial,Worcester,"-33.637310843690344, 19.45291252613735",,,,,,,
EGC,ROBERTSON HIGH,School,Worcester,"-33.807306099582746, 19.887178568471022",,,,,,,
EGD,CHARLIE HOFMEYER HOERSKOOL,School,Worcester,"-33.37390593304999, 19.30417099729122",,,,,,,
EGF,UNITED BULK,Commercial,Worcester,"-33.63946880172622, 19.472101515345177",,,,,,,
EGG,DEPT OF SOCIAL DEVELOPMENT,Commercial,Worcester,"-33.64308129167399, 19.456471926137432",,,,,,,
EGI,M&N BAKWERKE,Commercial,Worcester,"-33.639814584021565, 19.469059626137387",,,,,,,
EGJ,WORCESTER BAKWERKE,Commercial,Worcester,"-33.63796964996984, 19.464662810792127",,,,,,,
EGL,CERES FRUIT JUICES,Commercial,Worcester,"-33.37265206691113, 19.322259410896176",,,,,,,
EGN,HERMANUS HOSPITAL,Hospital,Worcester,"-34.422748317432784, 19.228268157868957",,,,,,,
EGO,QUENETS APTEEK,Commercial,Worcester,"-33.643434509697826, 19.445991595592574",,,,,,,
EOP,PIONIERDRUKKERY,Commercial,Worcester,"-33.648996297396394, 19.427925841482814",,,,,,,
EPU,WORCESTER SEN.SEK.,School,Worcester,"-33.6511493068045, 19.46212031281393",,,,,,,
ES1,STAFF DONATIONS,Commercial,Worcester,,,,,,,,
ESS,HERMANUS HOERSKOOL,School,Worcester,"-34.41165596539174, 19.241695426166125",,,,,,,
EST,GOUDINI SPA,Residential,Worcester,"-33.66817411049652, 19.26408029730199",,,,,,,
ESV,ONRUSRIVIER,Residential,Worcester,"-34.41540518888501, 19.178829406155277",,,,,,,
ESY,UILKRAALSMOND,Residential,Worcester,"-34.600691446365815, 19.408626383069443",,,,,,,
ETA,GRAYMEAD,Commercial,Worcester,"-34.03011527529939, 19.12212480263335",,,,,,,
ETB,FRUITWAYS GLEN ELGIN,Commercial,Worcester,"-34.15112350312081, 19.0410667",,,,,,,
ETC,ESSELEN PARK HIGH ,School,Worcester,"-33.65543272970363, 19.455133056020895",,,,,,,
ETD,WILLOW CREEK,Commercial,Worcester,"-33.67346293003175, 19.622311268466042",,,,,,,
ETF,VICTORIA & ALBERT,Commercial,Worcester,"-33.42075617300768, 19.198252333130434",,,,,,,
ETG,ARABELLA HOTEL&SPA,Commercial,Worcester,"-34.31788162716417, 19.13465899732635",,,,,,,
ETH,SOMERSET HIGH ,School,Worcester,"-33.65859913934298, 19.434326341483175",,,,,,,
ETI,PRINGLE BAY,Residential,Worcester,"-34.34794586674373, 18.833941003285236",,,,,,,
ETK,AFRICA BIOMASS,Commercial,Worcester,"-33.64113474527536, 19.470996339628485",,,,,,,
ETM,MTB PROKEREURS,Commercial,Worcester,"-33.641457909357605, 19.445403968464824",,,,,,,
ETN,CAPE DRIED FRUIT PAC,Commercial,Worcester,"-33.7804832206743, 20.132761726142537",,,,,,,
ETP,360 Degree Dental,Commercial,Worcester,"-33.64468904674895, 19.450154768464902",,,,,,,
ETQ,SOUTHERN OIL,Commercial,Worcester,"-34.05328910572527, 20.423836198089734",,,,,,,
ETS,AVALON SPRINGS,Commercial,Worcester,"-33.76562962069363, 20.117609726142007",,,,,,,
ETT,DE VILLIERS GRAAF HIGH,School,Worcester,"-33.985362084760055, 19.29236371080499",,,,,,,
ETU,ORCHARD SUPPLIERS,Event,Worcester,,,,,,,,
ETV,NTT VOLKSWAGEN,Commercial,Worcester,"-33.64110572121816, 19.450115183810038",,,,,,,
ETW,GEELGEBOU,Residential,Worcester,,,,,,,,
ETX,OP DIE BERG,Commercial,Worcester,"-33.023528893768464, 19.311328057574684",,,,,,,
ETY,WORCESTER NOORD PREM,School,Worcester,"-33.63081700192171, 19.451593671163707",,,,,,,
ETZ,CURRO HERMANUS ,School,Worcester,"-34.4124725730186, 19.191045226166267",,,,,,,
EBK1,WORCESTER CENTRAL,Fixed,Worcester,"-33.64597839884846, 19.43816668797832",,,,,,,
EBK2,WORCESTER CENTRAL,Fixed,Worcester,"-33.64597839884846, 19.43816668797832",,,,,,,
